"(x1, x2)",y,mean,variance,std,mae,time
"(-0.796688532434527, -0.9304029858592733)",-1.1009058612747173,6.550181385048684,35.388212089375564,5.948799214074683,8.463481385048684,0.002988700000003064
"(2.02316344060462, -0.011556745953171799)",2.98085541032892,1.6746781839454443,13.8212243256547,3.717690724852553,3.587978183945444,0.004256100000020524
"(2.02316344060462, -0.011556745953171799)",2.98085541032892,-1.2574960160860447,0.11631510415942578,0.3410500024328189,0.6558039839139551,0.005474300000003041
"(-0.40420441677623, -0.9959318632998304)",-1.5188545460884275,0.5464431713630018,4.519235943217829,2.12584946391268,2.4597431713630016,0.006791599999985465
"(-0.40367035909537785, -0.9959844346027893)",-1.519010581363763,-1.5177264377778243,4.554948455748331e-06,0.0021342325214812772,0.3955735622221757,0.008096500000021933
"(-0.4817953684086047, -0.3399221110251083)",0.16069934451029777,-0.46160550375811554,11.46167060753376,3.3855089141122874,1.451694496241884,0.009440299999994295
"(-0.48171907445419726, -1.2147352951449508)",-1.7690622574885255,0.7391248518218756,18.036651579754565,4.246957920647974,2.6524248518218756,0.010707099999990533
"(-0.48171907445419726, -1.2147352951449508)",-1.7690622574885255,-0.18549369759819867,6.739872201701677,2.5961263840001467,1.727806302401801,0.011988599999995131
"(-0.40367155118841547, -1.2149480837521653)",-1.7725499538366707,-0.6891149699744025,3.6099576943917624,1.8999888669125833,1.2241850300255974,0.013262100000019927
"(-0.40367155118841547, -1.2149480837521653)",-1.7725499538366707,-0.6338388360652802,8.605222658616894,2.9334659804771714,1.27946116393472,0.014583300000026611
"(-0.4805722809520103, -1.2416501333296457)",-1.7925843752295405,0.9507203674523529,40.25777371412151,6.344901395145674,2.864020367452353,0.01583460000000514
"(-0.48171907445419726, -1.2418654253322392)",-1.7926130527015989,-1.125447544605442,3.9483475472335927,1.987044928337956,0.7878524553945583,0.01707809999999199
"(-0.4622617318942227, -1.2416518022598984)",-1.794441006399142,-1.5791148410748161,0.35822419537768296,0.5985183333680623,0.3341851589251844,0.01832059999998137
"(-0.4622617318942227, -1.2416518022598984)",-1.794441006399142,5.184840114093992,64.0673584336499,8.004208794980919,7.098140114093994,0.019570299999998042
"(-0.46104102862370355, -1.2415983964918131)",-1.7944859249672294,-1.2413397511509219,0.6253499119391449,0.7907906878176708,0.6719602488490783,0.020840300000031675
"(2.0393300103342544, -1.2486212549950189)",6.34092731827541,-1.604773442644723,0.35155132951372925,0.5929176414256278,0.30852655735527706,0.022080700000003617
"(1.3752686232648639, -0.8110410941888206)",2.2242077464582644,-1.1299111428597592,4.198894289532641,2.049120369703215,0.7833888571402406,0.023346699999990506
"(-0.44152050513273544, -1.2484877405748058)",-1.8006451451287768,0.11451143813813229,6.1919021006262165,2.488353290958946,2.027811438138133,0.02459160000000793
"(-0.44152050513273544, -1.2484877405748058)",-1.8006451451287768,-0.00038624382182690377,16.449891710334754,4.0558466083340425,1.9129137561781733,0.025894499999992604
"(-0.44091015349747575, -1.2484877405748058)",-1.8006476365333142,0.2790311664115368,26.47463761439562,5.145351068138657,2.192331166411537,0.027147200000001703
"(2.0597004961610432, -1.249341398399043)",6.461388744724777,-0.9616706142323561,1.169815757140499,1.081580212994163,0.9516293857676436,0.028373400000020865
"(-0.439079098591697, -1.2484877405748058)",-1.800648420817593,1.0122212250595979,19.89792499202074,4.460709023464851,2.9255212250595983,0.02961640000000898
"(-0.7619574978300927, -1.2488816081144343)",-1.6469061254287354,-1.2338135382061297,3.3503678460019968,1.8304010068840098,0.6794864617938702,0.03250439999999344
"(-0.439079098591697, -1.1394865679128847)",-1.6994969676458118,-1.7633222016262482,0.00385437122870762,0.06208358260206655,0.14997779837375189,0.035339499999963664
"(-0.4006269455703432, -1.1944411032725695)",-1.7547268790723018,-0.9616991135640275,12.695335078024272,3.563051371791357,0.9516008864359726,0.03822879999995621
"(0.8103178513428988, -1.2488615809514023)",0.4779677541679601,-0.3277337093560754,14.51915615073047,3.810401048542065,1.5855662906439245,0.04117029999997612
"(-0.43969183441303183, -0.8116318954982633)",-1.180603767528325,-0.9174743254636379,1.0828786600726532,1.0406145588413864,0.9958256745363621,0.04245849999995244
"(-0.43969183441303183, -0.8116318954982633)",-1.180603767528325,-1.4295698906005936,1.1117681538357338,1.0544041700580162,0.4837301093994066,0.0437158999999383
"(-0.43969183441303183, -1.2489149867194875)",-1.8009759714214257,0.9134250986283152,28.34839400856265,5.324320990376393,2.826725098628315,0.044994999999971697
"(-0.43969183441303183, -1.2489149867194875)",-1.8009759714214257,-0.8472565112756225,14.175158417144312,3.7649911576449036,1.0660434887243775,0.046277399999951285
"(-0.4494574605771853, -1.2491319476523337)",-1.8010099637698196,-0.9396383812405329,9.594488995192602,3.097497214719103,0.9736616187594672,0.047543999999959397
"(-0.4393771218511011, -1.247412949492091)",-1.799825057136419,-0.6914786729519846,8.379923426300484,2.8948097392230263,1.2218213270480154,0.048765299999956824
"(-0.4396822976687309, -1.2491286097918284)",-1.801139103624874,-0.8413161704767038,14.224104740792558,3.771485747128386,1.0719838295232962,0.05003459999994675
"(-0.44938116662277783, -1.2225258615643813)",-1.7793828510992489,-1.5782602094403706,0.30706670724756613,0.5541360006781423,0.3350397905596292,0.05124939999996059
"(-0.44938116662277783, -1.2498696148240107)",-1.801581596226467,-1.782417774512481,0.0028995737654405216,0.05384769043738572,0.1308822254875188,0.05249069999996436
"(-0.4494574605771853, -1.0174009820700862)",-1.5413597398481578,0.544189761430852,12.859275451681842,3.5859831917734697,2.457489761430852,0.05385649999999487
"(0.17317750134199872, -1.243040352230114)",-1.2388287712251458,-0.8743744152205386,1.20827807882071,1.0992170298993325,1.0389255847794614,0.0551101999999446
"(0.17317750134199872, -1.243040352230114)",-1.2388287712251458,-0.46977921484429075,16.548385486374247,4.067970684060327,1.4435207851557093,0.05636379999998553
"(-0.44938116662277783, -1.2498762905450214)",-1.8015867426174532,0.5479125683002123,43.95580163692598,6.62991716667154,2.461212568300213,0.05769209999994018
"(-0.7596031140808003, -1.0311262644679862)",-1.340598226086672,-0.9467627519404076,6.837286547021,2.6148205573272136,0.9665372480595922,0.05902989999992769
"(-0.7596031140808003, -1.0311262644679862)",-1.340598226086672,-0.042704364672714636,27.02888882431708,5.198931507946328,1.8705956353272852,0.06033739999992349
"(-0.440841012101294, -1.1096819769957038)",-1.665389690944287,-1.673443492117843,0.050665974882788234,0.22509103687794463,0.23985650788215737,0.061655699999960234
"(-0.440841012101294, -1.1096819769957038)",-1.665389690944287,0.6466445146876921,27.10002521175603,5.205768455449784,2.5599445146876922,0.06295879999993303
"(-0.44022589209388396, -1.2490184603951526)",-1.8010551247055506,-1.5961156868694837,0.03421436145004719,0.18497124492754866,0.3171843131305162,0.06421289999991586
"(-0.44022589209388396, -1.2490184603951526)",-1.8010551247055506,-0.8985700006065809,13.508023675263107,3.675326335886802,1.0147299993934191,0.06546369999989565
"(-0.43900876510247766, -1.2498462498004734)",-1.8016842139012832,-0.9499285291520272,5.526998394975777,2.350956910488956,0.9633714708479729,0.06675129999990759
"(-0.44023066046603443, -1.2498462498004734)",-1.8016867331767141,0.07749353120022787,25.475875005787163,5.04736317355777,1.990793531200228,0.06799649999987878
"(-0.4402592706989372, -1.249872952684516)",-1.8017070798070658,-1.773687016413734,0.005677951499125556,0.0753521831078938,0.13961298358626595,0.06923939999984441
"(-0.4402592706989372, -1.249872952684516)",-1.8017070798070658,-1.187530827351273,2.6245291407773594,1.6200398577742954,0.7257691726487271,0.07048749999984238
"(-0.42066126116052405, -0.8123879209027196)",-1.1900317052013514,-0.7921435215630519,14.351233325637583,3.7883021692623178,1.1211564784369483,0.07173009999985425
"(0.18969037409906075, -1.1952021354677838)",-1.1990498421629154,-1.494135663658907,0.20953114170539386,0.45774571729880104,0.4191643363410932,0.07298299999985147
"(0.18969037409906075, -1.1952021354677838)",-1.1990498421629154,-1.6389310199530693,0.2565630893510843,0.5065205714984183,0.27436898004693067,0.07420319999988578
"(-0.43773203345919054, -1.2499831020811918)",-1.801780685283421,-1.557944445780826,0.19095277370471173,0.436981434050363,0.35535555421917353,0.0754201999998827
"(-0.44017344000022884, -1.2499831020811918)",-1.8017909291014016,-1.3465082990214046,3.228105762239797,1.7966930072329543,0.5667917009785954,0.07674159999987751
"(-0.7526925507417381, 2.277347716968979)",18.00248782798205,-0.915595853880969,14.55926413242866,3.8156603795973063,0.997704146119031,0.07798609999986184
"(-0.7526925507417381, 2.277347716968979)",18.00248782798205,-0.87503225147524,14.12895098130931,3.7588496885761886,1.0382677485247598,0.07922809999985247
"(-0.7526925507417381, 2.277347716968979)",18.00248782798205,-0.714303976489115,8.727440304352168,2.954224145922609,1.1989960235108852,0.08044149999989259
